тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
TOTAL;1511050;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для внутрішньо переміщених осіб, які захищали незалежність, суверенітет та територіальну цілісність України і брали безпосередню участь в антитерористичній операції, забезпеченні її проведення, перебуваючи безпосередньо в районах антитерористичної операції у період її проведення, у здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, перебуваючи безпосередньо в районах та у період здійснення зазначених заходів, та визнані особами з інвалідністю внаслідок війни ІІІ групи відповідно до пунктів 11-14 частини другої статті 7 або учасниками бойових дій відповідно до пунктів 19-21 частини першої статті 6 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;3263224000;0;;;;0;;;
TOTAL;1511060;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей учасників бойових дій на території інших держав, визначених у абзаці першому пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю I-II групи з числа учасників бойових дій на території інших держав, інвалідність яких настала внаслідок поранення, контузії, каліцтва або захворювання, пов’язаних з перебуванням у цих державах, визначених пунктом 7 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;499800000;0;;;;0;;;
TOTAL;2100000;Міністерство оборони України;989532330200;1330030636950.35;;;;1113343440413.96;;;83.7
TOTAL;2101000;Апарат Міністерства оборони України;979282629800;1316930456415.71;;;;1100284027552.56;;;83.54
TOTAL;2101010;Керівництво та військове управління у сфері оборони;513632400;534685981.97;;;;525169947.11;;;98.22
TOTAL;2101020;Забезпечення діяльності Збройних Сил України, підготовка кадрів і військ, медичне забезпечення особового складу, ветеранів військової служби та членів їхніх сімей, ветеранів війни;664508970500;896212133997.74;;;;857529835793.79;;;95.68
TOTAL;2101150;Розвиток, закупівля, модернізація та ремонт озброєння, військової техніки, засобів та обладнання;294798156000;420040957344.9;;;;242147313050.19;;;57.64
TOTAL;2101190;Будівництво (придбання) житла для військовослужбовців Збройних Сил України;1230286000;85186213.78;;;;53426293.49;;;62.71
TOTAL;2101210;Утилізація боєприпасів, рідинних компонентів ракетного палива, озброєння, військової техніки та іншого військового майна, забезпечення живучості та вибухопожежобезпеки арсеналів, баз і складів Збройних Сил України;2190746900;57492877.32;;;;28282467.98;;;49.19
TOTAL;2101450;Видатки для Міністерства оборони України на реалізацію заходів щодо підвищення обороноздатності і безпеки держави;16040838000;0;;;;0;;;
TOTAL;2105000;Адміністрація Державної спеціальної служби транспорту України;10249700400;13100180534.64;;;;13059412861.4;;;99.68
TOTAL;2105010;Забезпечення діяльності Державної спеціальної служби транспорту;10249700400;13100180534.64;;;;13059412861.4;;;99.68
TOTAL;2200000;Міністерство освіти і науки України;58630513000;53626752237.34;;;;45622949284.68;;;85.07
TOTAL;2201000;Апарат Міністерства освіти і науки України;58421871900;53441554637.34;;;;45465734048.54;;;85.07
